티커,설명,가격,변화 %,변화,테크니컬 레이팅,거래량,볼륨*프라이스,마켓 캪,주가 수익 비율 (TTM),기초 주당 수익 (TTM),직원수,섹터
005930,삼성전자보통주,61800,0.6514658,400,바이,12236503,756215885400,413613782495117,9.96091816,6164.0904,113485,일렉트로닉 테크놀로지
373220,LG에너지솔루션보통주,598000,0.16750419,1000,바이,237076,141771448000,139698000000000,247.8155598,2409.0497,9218,프로듀서 매뉴팩처링
207940,삼성바이오로직스보통주,882000,0.8,7000,바이,43806,38636892000,62277253150940,118.71914981,7378.0464,3959,헬쓰 테크놀로지
000660,에스케이하이닉스보통주,88400,0.7981756,700,셀,2981192,263537372800,60304332452393,6.51172445,13470.0894,30135,일렉트로닉 테크놀로지
051910,LG화학보통주,704000,0.57142857,4000,바이,142426,100267904000,51573761257172,24.51497438,28553.9764,13964,프로세스 인더스트리
006400,삼성SDI보통주,701000,0.14285714,1000,바이,171763,120405863000,46273910356641,27.27310616,25666.3101,11315,일렉트로닉 테크놀로지
005380,현대자동차보통주,169500,-0.29411765,-500,셀,559141,94774399500,39004659095955,7.06898015,24048.7307,71982,콘슈머 듀어러블즈
035420,NAVER보통주,185500,-1.32978723,-2500,뉴트럴,784241,145476705500,28024940490723,30.58436157,6224.6126,4678,테크놀로지 서비스
000270,기아보통주,66000,-0.45248869,-300,셀,1278122,84356052000,26581743493652,5.75320575,11524.0099,35501,콘슈머 듀어러블즈
035720,카카오보통주,57700,-2.36886633,-1400,뉴트럴,1742383,100535499100,25597629785156,16.83690602,3579.4978,3472,코머셜 서비스
068270,셀트리온보통주,178000,-0.8356546,-1500,셀,238178,42395684000,25032285125732,42.22039677,4256.7087,2207,헬쓰 테크놀로지
005490,포스코홀딩스보통주,289500,1.93661972,5500,스트롱 바이,401272,116168244000,20734831939697,,,18247,비에너지 미네럴
028260,삼성물산보통주,121500,1.25,1500,바이,240619,29235208500,19776427420557,11.05131816,10858.4332,8819,인더스트리얼 서비스
012330,현대모비스보통주,216000,2.36966825,5000,바이,162380,35074080000,19150646995544,,26083.6157,10835,프로듀서 매뉴팩처링
105560,KB금융지주 보통주,49000,0.92687951,450,바이,1025442,50246658000,18581224964905,4.24368956,11701.3995,149,파이낸스
